表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,1100,北海道 札幌市,,2878113816,,903300,
2020100000,2020年度,1101,北海道 札幌市 中央区,,-,,-,
2020100000,2020年度,1102,北海道 札幌市 北区,,-,,-,
2020100000,2020年度,1103,北海道 札幌市 東区,,-,,-,
2020100000,2020年度,1104,北海道 札幌市 白石区,,-,,-,
2020100000,2020年度,1105,北海道 札幌市 豊平区,,-,,-,
2020100000,2020年度,1106,北海道 札幌市 南区,,-,,-,
2020100000,2020年度,1107,北海道 札幌市 西区,,-,,-,
2020100000,2020年度,1108,北海道 札幌市 厚別区,,-,,-,
2020100000,2020年度,1109,北海道 札幌市 手稲区,,-,,-,
2020100000,2020年度,1110,北海道 札幌市 清田区,,-,,-,
2020100000,2020年度,1202,北海道 函館市,,314220339,,109204,
2020100000,2020年度,1203,北海道 小樽市,,120872719,,46826,
2020100000,2020年度,1204,北海道 旭川市,,403911656,,142463,
2020100000,2020年度,1205,北海道 室蘭市,,104235409,,35218,
2020100000,2020年度,1206,北海道 釧路市,,204106396,,72666,
2020100000,2020年度,1207,北海道 帯広市,,236724353,,78069,
2020100000,2020年度,1208,北海道 北見市,,154881059,,52358,
2020100000,2020年度,1209,北海道 夕張市,,6853040,,3066,
2020100000,2020年度,1210,北海道 岩見沢市,,93437287,,34138,
2020100000,2020年度,1211,北海道 網走市,,50402329,,16531,
2020100000,2020年度,1212,北海道 留萌市,,26228037,,9355,
2020100000,2020年度,1213,北海道 苫小牧市,,229214633,,78076,
2020100000,2020年度,1214,北海道 稚内市,,51405119,,15722,
2020100000,2020年度,1215,北海道 美唄市,,22322754,,8304,
2020100000,2020年度,1216,北海道 芦別市,,12108995,,5016,
2020100000,2020年度,1217,北海道 江別市,,143289642,,50895,
2020100000,2020年度,1218,北海道 赤平市,,9180364,,3721,
2020100000,2020年度,1219,北海道 紋別市,,29660761,,9720,
2020100000,2020年度,1220,北海道 士別市,,21837143,,7419,
2020100000,2020年度,1221,北海道 名寄市,,35351256,,12318,
2020100000,2020年度,1222,北海道 三笠市,,7152562,,3010,
2020100000,2020年度,1223,北海道 根室市,,32320514,,11153,
2020100000,2020年度,1224,北海道 千歳市,,140845346,,47658,
2020100000,2020年度,1225,北海道 滝川市,,48402531,,17577,
2020100000,2020年度,1226,北海道 砂川市,,20366653,,7190,
2020100000,2020年度,1227,北海道 歌志内市,,2593752,,1145,
2020100000,2020年度,1228,北海道 深川市,,23081029,,8432,
2020100000,2020年度,1229,北海道 富良野市,,26803011,,9546,
2020100000,2020年度,1230,北海道 登別市,,55358444,,20645,
2020100000,2020年度,1231,北海道 恵庭市,,89916955,,31860,
2020100000,2020年度,1233,北海道 伊達市,,39319430,,14411,
2020100000,2020年度,1234,北海道 北広島市,,72065871,,25216,
